up,down,TODAYDATE,LAST,TIM,CON,TIM,Boolinger%,MACD1HR-DIF,STOCH1HR-DIF,OICP,OIPP,CP,PP,HIST,MACDDIF,STOCH,MACD,1-STOCH,ocpt,oppt,1=MACD,NCRAT,NORAT,CPT,PPT,NCDIF-v,NODIF-v,LAST,DAY%,20ma,50ma
17,50,4-Oct-24,20153,1327,0.06,1327,90.35,-0.02,0.96,-881,2689,-86,34,0.03,0.02,34.16,-0.04,-57.03,1918140,905661,-0.21,2.2,2.1,55013,25401,0,-0.01,19.22,-0.88,0.14,-0.06
13,54,4-Oct-24,20157.25,1324,0.05,1324,77.84,-0.01,6.43,-20660,109270,6248,-400,0.02,0.02,-6.45,-0.06,-57.99,1919021,902972,-0.21,2.2,2.1,55099,25367,0.27,-0.31,19.19,-1.04,0.13,-0.1
2,65,4-Oct-24,20168,1321,0.03,1321,18.76,-0.02,-0.97,47297,-122357,-5030,81,0.01,-0.01,-50.2,-0.08,-64.42,1939681,793702,-0.22,1.9,2.4,48851,25767,-0.2,0.37,18.99,-2.11,-0.07,-0.3
11,56,4-Oct-24,20159,1318,0.04,1318,24.47,-0.02,-0.96,-23948,10605,-958,302,0.01,0,-29.13,-0.07,-63.45,1892384,916059,-0.22,2.1,2.1,53881,25686,-0.06,-0.05,19.02,-1.95,-0.04,-0.28
13,52,4-Oct-24,20155.5,1315,0.05,1315,30.92,-0.02,-0.32,2795,5378,310,183,0.01,0.01,-10.66,-0.07,-62.49,1916332,905454,-0.22,2.2,2.1,54839,25384,0,-0.01,19.05,-1.78,-0.02,-0.26
17,48,4-Oct-24,20151.5,1312,0.04,1312,31.79,-0.02,-1.93,-21850,7327,-281,321,0.02,0,5.67,-0.08,-62.17,1913537,900076,-0.22,2.2,2.1,54529,25201,-0.04,-0.04,19.06,-1.73,-0.02,-0.27
29,3,4-Oct-24,20139.25,1309,0.03,1309,46.98,-0.02,0.97,20781,-7213,660,-270,0.02,0.01,11.34,-0.08,-60.24,1935387,892749,-0.21,2.2,2.2,54810,24880,0.05,0.04,19.12,-1.41,0.03,-0.22
24,5,4-Oct-24,20144.5,1306,0.02,1306,37.11,-0.01,0,5749,-5813,349,-109,0.01,0,-3.5,-0.09,-61.21,1914606,899962,-0.21,2.2,2.1,54150,25150,0.02,0.02,19.09,-1.57,-0.02,-0.27
25,4,4-Oct-24,20142.75,1303,0.01,1303,37.86,-0.02,-7.58,23357,-13078,720,-351,0.01,0.01,-1.73,-0.09,-61.21,1908857,905775,-0.21,2.1,2.1,53801,25259,0.06,0.06,19.09,-1.57,-0.02,-0.28
15,14,4-Oct-24,20153,1300,0,1300,47.09,0,2.41,-7748,-2895,-394,5,0.01,0.01,-3.03,-0.1,-53.63,1885500,918853,-0.19,2.1,2.1,53081,25610,-0.02,0,19.12,-1.41,0,-0.27
6,23,4-Oct-24,20162.25,1257,-0.01,1257,26.62,-0.01,-1.51,-15609,14688,-246,369,0,0,-12.39,-0.11,-56.04,1893248,921748,-0.2,2.1,2.1,53475,25605,-0.04,-0.05,19.04,-1.84,-0.08,-0.36
7,22,4-Oct-24,20161.5,1254,0,1254,38.04,-0.02,1.21,-13441,-1395,-267,-48,0,0,-12.65,-0.11,-54.53,1908857,907060,-0.2,2.1,2.1,53721,25236,-0.01,-0.02,19.09,-1.57,-0.05,-0.33
-3,26,4-Oct-24,20164.75,1251,0.01,1251,25.92,-0.01,0.9,35907,-13293,969,-277,0,0.01,-29.91,-0.11,-55.74,1922298,908455,-0.2,2.1,2.1,53988,25284,0.07,0.07,19.05,-1.78,-0.1,-0.38
-13,39,4-Oct-24,20177.75,1248,0.01,1248,21.41,-0.01,1.2,-56131,122461,4862,-5,-0.01,0,-40.1,-0.12,-56.64,1886391,921748,-0.2,2.1,2,53019,25561,0.19,-0.38,19.02,-1.95,-0.14,-0.42
4,35,4-Oct-24,20174,1245,0,1245,14.61,-0.01,-3.91,23916,-107773,-5827,381,-0.01,-0.01,-41.36,-0.12,-57.84,1942522,799287,-0.2,1.9,2.4,48157,25566,-0.26,0.31,18.98,-2.16,-0.18,-0.47
25,14,4-Oct-24,20153.25,1242,0.01,1242,32.3,0,5.77,-50053,125034,8231,-47,0,0,-35.44,-0.11,-53.93,1918606,907060,-0.19,2.1,2.1,53984,25185,0.33,-0.4,19.11,-1.47,-0.06,-0.35
25,11,4-Oct-24,20153.25,1239,0.02,1239,14.51,-0.01,-5.25,-6665,-90061,-3594,968,0,-0.01,-46.1,-0.11,-59.7,1968659,782026,-0.2,1.8,2.5,45753,25232,-0.22,0.25,18.99,-2.11,-0.17,-0.49
58,-23,4-Oct-24,20120,1236,0.03,1236,35.13,0,-1.22,-35802,18777,-796,426,0.01,0,-10.81,-0.1,-54.45,1975324,872087,-0.19,2,2.3,49347,24264,-0.07,-0.09,19.17,-1.15,0,-0.32
65,-7,4-Oct-24,20113,1233,0.04,1233,37.74,0.01,-1.22,-39665,14137,-983,358,0.01,0,6.39,-0.1,-53.23,2011126,853310,-0.19,2.1,2.4,50143,23838,-0.08,-0.08,19.21,-0.94,0.03,-0.28
74,-9,4-Oct-24,20103.75,1230,0.02,1230,39.78,0.01,-0.92,4405,114,63,30,0.01,0.01,11.96,-0.1,-52.01,2050791,839173,-0.19,2.2,2.4,51126,23480,0,0,19.25,-0.73,0.04,-0.25
81,-7,4-Oct-24,20097.25,1227,-0.02,1227,40.58,-0.02,2.14,10756,-7143,421,-156,0,0.01,6.23,-0.11,-51.09,2046386,839059,-0.18,2.2,2.4,51063,23450,0.03,0.03,19.28,-0.57,0.05,-0.23
79,2,4-Oct-24,20099.25,1224,-0.06,1224,32.64,-0.04,2.44,29675,-8852,711,-276,-0.01,0.01,-2.85,-0.12,-53.23,2035630,846202,-0.19,2.1,2.4,50642,23606,0.06,0.06,19.21,-0.94,-0.04,-0.3
65,15,4-Oct-24,20112.5,1221,-0.1,1221,23.91,-0.04,-1.83,-3739,4202,6033,2095,-0.02,-0.01,0.79,-0.13,-55.67,2005955,855054,-0.19,2.1,2.3,49931,23882,0.08,-0.01,19.13,-1.36,-0.15,-0.38
71,6,4-Oct-24,20103.25,1218,-0.12,1218,26.29,-0.06,-1.83,-33835,11793,-700,310,-0.02,0,3.89,-0.12,-53.84,2009694,850852,-0.19,2,2.4,43898,21787,-0.07,-0.08,19.19,-1.04,-0.14,-0.32
56,0,4-Oct-24,20097.5,1215,-0.13,1215,29.87,-0.06,0.91,882,-2909,47,-104,-0.03,0.01,-9.42,-0.12,-52.01,2043529,839059,-0.19,2.1,2.4,44598,21477,0.02,0.01,19.25,-0.73,-0.12,-0.26
44,13,4-Oct-24,20109.75,1212,-0.14,1212,26.18,-0.06,-0.61,-29676,3378,-581,525,-0.04,0,-37.65,-0.13,-52.92,2042647,841968,-0.19,2.1,2.4,44551,21581,-0.08,-0.04,19.22,-0.88,-0.19,-0.3
11,12,4-Oct-24,20109.25,1209,-0.15,1209,27.88,-0.07,5.8,66046,-23099,1668,-607,-0.05,0.01,-64.96,-0.13,-52.31,2072323,838590,-0.19,2.1,2.5,45132,21056,0.13,0.14,19.24,-0.78,-0.22,-0.28
-20,36,4-Oct-24,20132.75,1206,-0.17,1206,11.32,-0.08,0.92,34667,-8168,774,-285,-0.07,-0.02,-89.11,-0.14,-58.11,2006277,861689,-0.2,2,2.3,43464,21663,0.06,0.06,19.05,-1.78,-0.45,-0.47
-5,40,4-Oct-24,20137.5,1203,-0.14,1203,6.1,-0.08,-25.1,-3714,-2782,-102,45,-0.07,-0.03,-90.45,-0.12,-59.03,1971610,869857,-0.2,1.9,2.3,42690,21948,0,0.01,19.02,-1.95,-0.53,-0.5
